co_per_rol,P_0,r_f,d,s,T,phi,n_s,n_o,K,wealth,rescale_factor
10444,100.0,0.0197,0.00075000001,0.56515551,3.442610151907341,0.040294886,0.0066900002,0.0050774116200000005,63.22734674627672,0.13430397,20.017653
10790,100.0,0.0197,0.012,0.42454028,4.567434017562025,0.21340302,0.00333,0.01928271216,42.81827293046059,0.38796297,35.442814
10850,100.0,0.0197,0.0087619051,0.3455691,2.8842002068811223,0.08824566,0.01377,0.0039140192,104.50818209293338,0.15108122,32.091118
10908,100.0,0.0197,0.0024999999,0.5163998,2.2284931200009623,0.49973783,0.058970001,0.0032708731,140.1008827239105,0.14955318,58.186295
10945,100.0,0.0197,0.0070000002,0.39786115,3.104372361674374,0.043561909,0.0066399998,0.0050806855790000004,279.044640201726,0.093857057,27.632813
11735,100.0,0.0197,0.0105,0.30955786,2.8677566841388504,0.060869947,0.00239,0.0140370233,73.53169172526984,0.25913885,26.676233
11880,100.0,0.0197,0.0124,0.47266611,3.3000001733423625,0.039231699,0.01072,0.002054548702,69.80980664717114,0.089003563,167.3624
11945,100.0,0.0197,0.0031000001,0.28279421,5.649010700289028,0.042600803,0.0040699998,0.00338159258,127.23647563333171,0.12374584,40.020699
11950,100.0,0.0197,0.0049999999,0.5547626,2.7340440421335495,0.020336382,0.00026999999,0.0022205049069999997,96.71151433218704,0.012512991,600.59052
12087,100.0,0.0197,0.0,0.27814227,1.0206619743587941,0.09944582,0.0102,0.0012203272,23.40226582945254,0.31533289,53.047993
12191,100.0,0.0197,0.0035999999,0.4823246,3.5432254199992594,0.030423108,0.00072000001,0.001050462984,92.90278537295252,0.085498735,321.9187
12655,100.0,0.0197,0.00089999998,0.48469281,2.2112328700033514,0.016416989,0.00111,0.0023401589,55.169946332747145,0.036239006,387.21259
13072,100.0,0.0197,0.0080000004,0.28880894,2.7914828050840352,0.14804025,0.0025800001,0.00512413157,51.0009101907995,0.1614306,254.82878
13078,100.0,0.0197,0.0,0.58029389,2.205664160409152,0.3352536,0.049350001,0.010428344400000001,79.15246153393069,1.2657363,3.6784363
13122,100.0,0.0197,0.0,0.30874696,3.641207156338118,0.044451676,0.069990002,0.013533176693,42.30674598742758,0.12182175,70.314178
13314,100.0,0.0197,0.00088000001,0.49815178,4.014954060436878,0.095572904,0.0052999998,0.00497715735,102.29627022987604,0.21032916,16.440697
13346,100.0,0.0197,0.00039999999,0.46121883,2.190274169067499,0.105955,0.0092200004,0.0121333895,74.64014919098936,0.29707506,20.497231
13568,100.0,0.0197,0.0066999998,0.32334319,1.176684461332939,0.027711982,0.081560001,0.00197285289,39.26421915910656,0.087217189,73.633385
13604,100.0,0.0197,0.0,0.24610364,2.165853686455684,0.041133586,0.0048400001,0.006024265849,74.98669374708543,0.11602517,48.686398
13622,100.0,0.0197,0.0054000001,0.35385391,4.787740335934489,0.14394677,0.00184,0.0037515073799999996,105.00756958857419,0.12548386,32.531082
13869,100.0,0.0197,0.0055999998,0.30916458,3.4221608433169224,0.012393806,0.00125,0.00268083505,90.30395003984741,0.029677406,342.31647
13896,100.0,0.0197,0.0188,0.19838335,2.698752737922073,0.013167358,0.00092000002,0.001850739661,77.29796969204189,0.018784434,1035.3375
13933,100.0,0.0197,0.0146,0.27384302,4.729577639745131,0.025108118,0.0050599999,0.004564598064,41.37747241931394,0.055774637,158.59918
13990,100.0,0.0197,0.019300001,0.5065335,4.314355045290675,0.097373098,0.00351,0.00875735339,65.20990349813613,0.14972372,79.216446
14104,100.0,0.0197,0.0116,0.4197984,2.0361913692158486,0.14164135,0.0020900001,0.00472707892,79.20522895607003,0.24021393,20.307699
14161,100.0,0.0197,0.014,0.32062662,4.475273695775812,0.021598922,0.0,0.005740144106,79.59305082967084,0.030750234,281.82333
14318,100.0,0.0197,0.01035,0.2770279,4.065916153401674,0.025897808,0.00069999998,0.005840742529999999,45.859315392878266,0.057445653,300.00119
14352,100.0,0.0197,0.0048000002,0.35869768,5.285014682087906,0.22062883,0.0091800001,0.00041468092099999996,82.4204879190167,0.31013754,20.086758
14426,100.0,0.0197,0.0083999997,0.31305566,3.7215233639176883,0.02140197,0.021539999,0.00594950323,113.03041835236778,0.058835257,111.37517
14469,100.0,0.0197,0.0065000001,0.53143424,5.0,0.01482271,0.0017500001,0.0,100.0,0.041952372,138.34711
14570,100.0,0.0197,0.0035000001,0.49558052,3.308070976537999,0.039121304,0.00202,0.006511731119999999,74.74954237427333,0.10148942,156.17355
14688,100.0,0.0197,0.001,0.58983582,0.6853001780219599,0.43926772,0.0088299997,0.0018694362,176.13265092476433,0.93294299,5.3043799
15136,100.0,0.0197,0.0,0.33683729,3.797937216746352,0.071928129,0.0077,0.0102265484,49.386918029451365,0.18244849,39.621635
15150,100.0,0.0197,0.0062000002,0.52043575,2.2112328700743666,0.39280954,0.0047499998,0.00019881476,125.73435504429398,1.1731673,4.0958729
15191,100.0,0.0197,0.0,0.48881727,3.567123350000012,0.19049211,0.02565,0.0027048471,25.8981233243968,0.3128826,10.342544
